FragmentID	PGF.NH	COX.NH	CIGAR	NM	XG
WTCHG_18627:2:100:10011:19232	1	1	S	0	A0
WTCHG_18627:2:100:10014:4776	1	1	S	0	A0
WTCHG_18627:2:100:10046:19100	1	1	S	0	A0
WTCHG_18627:2:100:10062:6413	1	1	S	0	A0
WTCHG_18627:2:100:10069:19288	1	1	S	0	A0
WTCHG_18627:2:100:10080:15670	1	1	S	0	A0
WTCHG_18627:2:100:10083:15874	1	1	S	0	A0
WTCHG_18627:2:100:10086:7551	1	1	S	0	A0
WTCHG_18627:2:100:10097:12136	1	1	S	0	A0
WTCHG_18627:2:100:10108:5714	1	1	S	0	A0
WTCHG_18627:2:100:10115:3529	1	1	S	0	A0
WTCHG_18627:2:100:10116:19501	1	1	S	0	A0
WTCHG_18627:2:100:10118:17776	1	1	S	0	A0
WTCHG_18627:2:100:10125:14491	1	1	S	0	A0
WTCHG_18627:2:100:10125:5559	1	1	S	0	A0
WTCHG_18627:2:100:10132:4901	1	1	S	0	A0
WTCHG_18627:2:100:10144:15445	1	1	S	0	A0
WTCHG_18627:2:100:10154:10981	1	1	S	0	A0
WTCHG_18627:2:100:10154:14322	1	1	S	0	A0
WTCHG_18627:2:100:10156:15459	1	1	S	0	A0
WTCHG_18627:2:100:10159:5445	1	1	S	0	A0
WTCHG_18627:2:100:10203:3943	1	1	S	0	A0
WTCHG_18627:2:100:10222:15780	1	1	S	0	A0
WTCHG_18627:2:100:10238:10427	1	1	S	0	A0
WTCHG_18627:2:100:10253:11561	1	1	S	0	A0
WTCHG_18627:2:100:1025:6552	1	1	S	0	A0
WTCHG_18627:2:100:10280:11662	1	1	S	0	A0
WTCHG_18627:2:100:10295:2015	1	1	S	0	A0
WTCHG_18627:2:100:10307:2223	1	1	S	0	A0
WTCHG_18627:2:100:10308:4729	1	1	S	0	A0
WTCHG_18627:2:100:10310:9541	1	1	S	0	A0
WTCHG_18627:2:100:10324:19067	1	1	S	0	A0
WTCHG_18627:2:100:10325:9560	1	1	S	0	A0
WTCHG_18627:2:100:10329:18961	1	1	S	0	A0
WTCHG_18627:2:100:10331:17493	1	1	S	0	A0
WTCHG_18627:2:100:10349:3318	1	1	S	0	A0
WTCHG_18627:2:100:10350:2980	1	1	S	0	A0
WTCHG_18627:2:100:10368:4160	1	1	S	0	A0
WTCHG_18627:2:100:10373:21270	1	1	S	0	A0
