gene_name	Hap1	Hap2	gene_count	rate_of_gene_count	only_h1	only_h2	intersect	h1_mismatch	h2_mismatch	intersect_mismatch	h1_mismatching_rate	h2_mismatching_rate	intersect_mismatching_rate	mismatching_rate	type	putative_haps
HLA-A	apd	pgf	350	0.7	107	108	135	0	0	0	0	0	0	0	A	1
HLA-A	cox	pgf	339	0.678	96	109	134	0	0	0	0	0	0	0	A	2
HLA-A	dbb	pgf	267	0.534	24	195	48	0	0	0	0	0	0	0	B	3
HLA-A	mcf	pgf	267	0.534	24	194	49	0	0	0	0	0	0	0	B	3
HLA-A	pgf	qbl	254	0.508	239	11	4	0	0	0	0	0	0	0	B	4
HLA-A	apd	dbb	248	0.496	176	6	66	0	0	0	0	0	0	0	B	5
HLA-A	apd	mcf	248	0.496	175	6	67	0	0	0	0	0	0	0	B	5
HLA-A	apd	qbl	247	0.494	232	5	10	0	0	0	0	0	0	0	B	6
HLA-A	pgf	ssto	246	0.492	240	3	3	0	0	0	0	0	0	0	B	7
HLA-A	apd	mann	245	0.49	239	3	3	0	0	0	0	0	0	0	B	8
HLA-A	mann	pgf	245	0.49	2	239	4	0	0	0	0	0	0	0	B	8
HLA-A	apd	ssto	244	0.488	238	2	4	0	0	0	0	0	0	0	B	9
HLA-A	apd	cox	243	0.486	13	1	229	0	0	0	0	0	0	0	B	10
HLA-A	pgf	pgf	243	0.486	0	0	243	0	0	0	0	0	0	0	B	10
HLA-A	apd	apd	242	0.484	0	0	242	0	0	0	0	0	0	0	B	11
HLA-A	cox	mcf	237	0.474	164	7	66	0	0	0	0	0	0	0	B	12
HLA-A	cox	dbb	236	0.472	164	6	66	0	0	0	0	0	0	0	B	13
HLA-A	cox	qbl	236	0.472	221	6	9	0	0	0	0	0	0	0	B	13
HLA-A	cox	mann	234	0.468	228	4	2	0	0	0	0	0	0	0	B	14
HLA-A	cox	ssto	233	0.466	227	3	3	0	0	0	0	0	0	0	B	15
HLA-A	cox	cox	230	0.46	0	0	230	0	0	0	0	0	0	0	B	16
HLA-A	mcf	qbl	85	0.17	70	12	3	0	0	0	0	0	0	0	B	17
HLA-A	dbb	qbl	84	0.168	69	12	3	0	0	0	0	0	0	0	B	18
HLA-A	mcf	ssto	75	0.15	69	2	4	0	0	0	0	0	0	0	B	19
HLA-A	dbb	ssto	74	0.148	68	2	4	0	0	0	0	0	0	0	B	20
HLA-A	mann	mcf	74	0.148	1	68	5	0	0	0	0	0	0	0	B	20
HLA-A	dbb	mann	73	0.146	67	1	5	0	0	0	0	0	0	0	B	21
HLA-A	dbb	mcf	73	0.146	0	1	72	0	0	0	NA	0	0	0	B	21
HLA-A	mcf	mcf	73	0.146	0	0	73	0	0	0	0	0	0	0	B	21
HLA-A	dbb	dbb	72	0.144	0	0	72	0	0	0	0	0	0	0	B	22
HLA-A	mann	qbl	17	0.034	2	11	4	0	0	0	0	0	0	0	B	23
HLA-A	qbl	ssto	17	0.034	11	2	4	0	0	0	0	0	0	0	B	23
HLA-A	qbl	qbl	15	0.03	0	0	15	0	0	0	0	0	0	0	B	24
HLA-A	mann	ssto	7	0.014	1	1	5	0	0	0	0	0	0	0	B	25
HLA-A	mann	mann	6	0.012	0	0	6	0	0	0	0	0	0	0	B	26
