chr	start	end	gene_name	gene_type	gene_status	transcript_type
chr6	29722775	29738529	HLA-F	protein_coding	KNOWN	protein_coding
chr6	29826967	29831126	HLA-G	protein_coding	KNOWN	protein_coding
chr6	29941260	29945885	HLA-A	protein_coding	KNOWN	protein_coding
chr6	30489406	30494206	HLA-E	protein_coding	KNOWN	protein_coding
chr6	31268749	31357159	HLA-C	protein_coding	KNOWN	protein_coding
chr6	31353872	31357189	HLA-B	protein_coding	KNOWN	protein_coding
chr6	32439842	32445047	HLA-DRA	protein_coding	KNOWN	protein_coding
chr6	32517343	32530288	HLA-DRB5	protein_coding	KNOWN	protein_coding
chr6	32552990	32589849	HLA-DRB1	protein_coding	KNOWN	protein_coding
chr6	32628179	32647063	HLA-DQA1	protein_coding	KNOWN	protein_coding
chr6	32659467	32668384	HLA-DQB1	protein_coding	KNOWN	protein_coding
chr6	32741342	32747216	HLA-DQA2	protein_coding	KNOWN	protein_coding
chr6	32756098	32763535	HLA-DQB2	protein_coding	KNOWN	protein_coding
chr6	32812763	32817049	HLA-DOB	protein_coding	KNOWN	protein_coding
chr6	32934629	32941071	HLA-DMB	protein_coding	KNOWN	protein_coding
chr6	32948613	32969095	HLA-DMA	protein_coding	KNOWN	protein_coding
chr6	33004178	33009613	HLA-DOA	protein_coding	KNOWN	protein_coding
chr6	33064569	33080776	HLA-DPA1	protein_coding	KNOWN	protein_coding
chr6	33075926	33087202	HLA-DPB1	protein_coding	KNOWN	protein_coding
KI270758.1	9689	14892	HLA-DRA	protein_coding	KNOWN	protein_coding
GL000250.2	1092579	1096752	HLA-G	protein_coding	KNOWN	protein_coding
GL000250.2	1199010	1207359	HLA-A	protein_coding	KNOWN	protein_coding
GL000250.2	3823889	3837635	HLA-DRB1	protein_coding	KNOWN	protein_coding
GL000250.2	4047520	4053352	HLA-DQA2	protein_coding	KNOWN	protein_coding
GL000250.2	4062237	4069675	HLA-DQB2	protein_coding	KNOWN	protein_coding
GL000250.2	4117787	4122073	HLA-DOB	protein_coding	KNOWN	protein_coding
GL000250.2	4239474	4257973	HLA-DMB	protein_coding	KNOWN	protein_coding
GL000250.2	4253460	4257973	HLA-DMA	protein_coding	KNOWN	protein_coding
GL000250.2	4369249	4385444	HLA-DPA1	protein_coding	KNOWN	protein_coding
GL000250.2	4380588	4391854	HLA-DPB1	protein_coding	KNOWN	protein_coding
GL000251.2	1206635	1222379	HLA-F	protein_coding	KNOWN	protein_coding
GL000251.2	1310529	1314699	HLA-G	protein_coding	KNOWN	protein_coding
GL000251.2	1420685	1429034	HLA-A	protein_coding	KNOWN	protein_coding
GL000251.2	1969141	1973941	HLA-E	protein_coding	KNOWN	protein_coding
GL000251.2	2749675	2753057	HLA-C	protein_coding	KNOWN	protein_coding
GL000251.2	2834232	2837605	HLA-B	protein_coding	KNOWN	protein_coding
GL000251.2	3877968	3883136	HLA-DRA	protein_coding	KNOWN	protein_coding
GL000251.2	3934009	4011368	HLA-DRB3	protein_coding	KNOWN	protein_coding
GL000251.2	3934029	4079950	HLA-DRB1	protein_coding	KNOWN	protein_coding
GL000251.2	4055468	4160990	HLA-DQA2	protein_coding	KNOWN	protein_coding
GL000251.2	4072371	4079983	HLA-DQB1	protein_coding	KNOWN	protein_coding
GL000251.2	4169671	4177109	HLA-DQB2	protein_coding	KNOWN	protein_coding
GL000251.2	4224964	4229250	HLA-DOB	protein_coding	KNOWN	protein_coding
GL000251.2	4346824	4365323	HLA-DMB	protein_coding	KNOWN	protein_coding
GL000251.2	4360810	4382926	HLA-DMA	protein_coding	KNOWN	protein_coding
GL000251.2	4416346	4421781	HLA-DOA	protein_coding	KNOWN	protein_coding
GL000251.2	4476420	4492629	HLA-DPA1	protein_coding	KNOWN	protein_coding
GL000251.2	4487777	4498988	HLA-DPB1	protein_coding	KNOWN	protein_coding
GL000252.2	985849	1001602	HLA-F	protein_coding	KNOWN	protein_coding
GL000252.2	1089780	1093939	HLA-G	protein_coding	KNOWN	protein_coding
GL000252.2	1196812	1201453	HLA-A	protein_coding	KNOWN	protein_coding
GL000252.2	1745238	1750038	HLA-E	protein_coding	KNOWN	protein_coding
GL000252.2	2526549	2529921	HLA-C	protein_coding	KNOWN	protein_coding
