read_name	gene_name	./inst/extdata/mapping2apd bam	./inst/extdata/mapping2cox.bam	./inst/extdata/mapping2dbb.bam	./inst/extdata/mapping2mann.bam	./inst/extdata/mapping2mcf.bam	./inst/extdata/mapping2pgf.bam	./inst/extdata/mapping2qbl.bam	./inst/extdata/mapping2ssto.bam
WTCHG_18627:2:100:10041:14691	HLA-A	0	0	NA	NA	NA	2	NA	2
WTCHG_18627:2:100:10157:10525	HLA-A	1	1	1	2	1	0	3	2
WTCHG_18627:2:100:10230:14091	HLA-A	0	0	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:10267:1723	HLA-A	1	1	1	2	1	0	2	2
WTCHG_18627:2:100:1029:13925	HLA-A	0	0	NA	NA	NA	1	NA	2
WTCHG_18627:2:100:10317:16180	HLA-A	1	NA	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:10508:6835	HLA-A	1	1	NA	NA	NA	1	NA	NA
WTCHG_18627:2:100:10743:14599	HLA-A	1	1	1	NA	1	2	NA	NA
WTCHG_18627:2:100:10748:4689	HLA-A	0	0	2	NA	2	0	NA	NA
WTCHG_18627:2:100:10840:4098	HLA-A	0	0	2	NA	2	0	NA	NA
WTCHG_18627:2:100:10846:7539	HLA-A	0	0	NA	NA	NA	0	NA	NA
WTCHG_18627:2:100:10916:14694	HLA-A	0	0	NA	3	NA	1	3	NA
WTCHG_18627:2:100:10956:19617	HLA-A	1	1	NA	NA	NA	1	NA	NA
WTCHG_18627:2:100:11214:1959	HLA-A	0	NA	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:11456:13242	HLA-A	0	0	NA	2	NA	NA	1	NA
WTCHG_18627:2:100:11491:12282	HLA-A	NA	NA	NA	NA	NA	0	NA	NA
WTCHG_18627:2:100:11573:14711	HLA-A	NA	NA	1	1	NA	0	1	1
WTCHG_18627:2:100:11702:3785	HLA-A	0	NA	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:11792:14525	HLA-A	1	1	2	3	2	1	3	3
WTCHG_18627:2:100:11915:9377	HLA-A	2	2	NA	NA	NA	NA	NA	4
WTCHG_18627:2:100:12039:7426	HLA-A	2	2	4	NA	4	2	NA	NA
WTCHG_18627:2:100:12064:12212	HLA-A	1	1	NA	2	NA	NA	2	NA
WTCHG_18627:2:100:12097:6679	HLA-A	0	0	0	1	0	1	2	1
WTCHG_18627:2:100:12154:20623	HLA-A	0	0	2	NA	NA	0	3	NA
WTCHG_18627:2:100:12220:8537	HLA-A	0	0	NA	NA	NA	0	NA	NA
WTCHG_18627:2:100:12267:17305	HLA-A	1	1	NA	NA	NA	0	NA	NA
WTCHG_18627:2:100:12275:9393	HLA-A	0	0	NA	NA	NA	0	NA	NA
WTCHG_18627:2:100:12309:5008	HLA-A	1	1	NA	NA	NA	1	NA	NA
WTCHG_18627:2:100:12525:18452	HLA-A	0	0	0	1	0	1	2	1
WTCHG_18627:2:100:12529:13453	HLA-A	1	1	3	3	3	0	3	3
WTCHG_18627:2:100:12657:15521	HLA-A	0	0	NA	3	NA	NA	1	NA
WTCHG_18627:2:100:12673:7879	HLA-A	1	1	NA	NA	NA	NA	NA	NA
WTCHG_18627:2:100:12685:16436	HLA-A	0	0	NA	1	NA	2	1	NA
WTCHG_18627:2:100:12786:10720	HLA-A	0	0	3	NA	NA	0	NA	NA
WTCHG_18627:2:100:12998:9437	HLA-A	1	1	NA	3	NA	1	2	3
